country,total_cases,new_cases,total_cases_per_million,total_deaths,new_deaths,total_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,people_fully_vaccinated_per_hundred,code,continent,population,median_age,trend_status,last_update
Kosovo,274279.0,0.0,159654.83,3212.0,0.0,1869.6703,1837446.0,906858.0,825082.0,,48.027126,OWID_KOS,Europe,1717950.0,30.808000564575195,Insufficient data,2026-04-26
Japan,33803572.0,0.0,270433.8,74694.0,0.0,597.56354,433356600.0,104740060.0,103455224.0,,82.76578,JPN,Asia,124997585.0,48.54800033569336,Insufficient data,2026-04-26
Kiribati,5085.0,0.0,38970.594,24.0,0.0,183.932,219980.0,100900.0,81474.0,,62.44032,KIR,Oceania,130483.0,22.52899932861328,Insufficient data,2026-04-26
Jersey,66391.0,0.0,641502.3,161.0,0.0,1555.6608,266953.0,84365.0,81882.0,,79.11839,JEY,Europe,103493.0,42.867000579833984,Insufficient data,2026-04-26
Afghanistan,235214.0,0.0,5796.4683,7998.0,0.0,197.09776,22964750.0,19151368.0,18370386.0,,45.270844,AFG,Asia,40578847.0,16.75200080871582,Insufficient data,2026-04-26
Lesotho,36140.0,0.0,15808.499,709.0,0.0,310.13354,1339097.0,1014073.0,938088.0,,41.03421,LSO,Africa,2286112.0,21.263999938964844,Insufficient data,2026-04-26
Liberia,7932.0,0.0,1476.1886,294.0,0.0,54.71501,4460668.0,3903802.0,3730967.0,,69.43534,LBR,Africa,5373297.0,18.18000030517578,Insufficient data,2026-04-26
Iraq,2465545.0,0.0,55945.402,25375.0,0.0,575.78125,19557364.0,11332925.0,7944775.0,,18.0274,IRQ,Asia,44070556.0,20.093000411987305,Insufficient data,2026-04-26
Jordan,1746997.0,0.0,155202.14,14122.0,0.0,1254.5897,10057975.0,4821579.0,4558313.0,,40.495773,JOR,Asia,11256269.0,23.94300079345703,Insufficient data,2026-04-26
Honduras,473042.0,0.0,45207.133,11114.0,0.0,1062.1299,17074860.0,6596213.0,5853689.0,,55.94186,HND,North America,10463880.0,23.20599937438965,Insufficient data,2026-04-26
Malawi,89168.0,0.0,4335.124,2686.0,0.0,130.58656,8503954.0,5433538.0,4288014.0,,20.847246,MWI,Africa,20568731.0,17.334999084472656,Insufficient data,2026-04-26
Wallis and Futuna,3760.0,0.0,326928.1,9.0,0.0,782.54065,18058.0,7150.0,6803.0,,59.15138,WLF,Oceania,11501.0,36.5989990234375,Insufficient data,2026-04-26
Hungary,2240865.0,0.0,231391.34,49124.0,0.0,5072.536,16701238.0,6420354.0,6206710.0,,64.090385,HUN,Europe,9684308.0,42.99300003051758,Improving,2026-04-26
Madagascar,68853.0,0.0,2262.1287,1428.0,0.0,46.91618,3092063.0,2710365.0,2628849.0,,8.636944,MDG,Africa,30437261.0,18.718000411987305,Insufficient data,2026-04-26
Iceland,211288.0,0.0,555483.1,186.0,0.0,489.00012,903424.0,309770.0,297934.0,,78.32783,ISL,Europe,380368.0,35.74700164794922,Improving,2026-04-26
